player_id,name,dob,birth_place,gp,pts,rbs,ast,fg,fg3,ft,efg,per,ws,venus_cycle,lat,lon,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,nn,sn,asc,mc
silaspa01,Paul Silas,1943-07-12,"Prescott, Arkansas",1254,9.4,9.9,2.1,43.2,0.0,67.3,43.2,13.9,79.9,Red_5,33.800431,-93.3911,CANCER,SCORPIO,CANCER,VIRGO,TAURUS,LEO,GEMINI,GEMINI,VIRGO,LEO,LEO,AQUARIUS,CANCER,ARIES
barryri01,Rick Barry,1944-03-28,"Elizabeth, New Jersey",1020,24.8,6.7,4.9,45.6,29.7,89.3,46.0,21.0,128.9,White_4,40.666773,-74.185906,ARIES,GEMINI,ARIES,PISCES,CANCER,LEO,GEMINI,GEMINI,LIBRA,LEO,LEO,AQUARIUS,TAURUS,CAPRICORN
monroea01,Earl Monroe,1944-11-21,"Philadelphia, Pennsylvania",926,18.8,3.0,3.9,46.4,0.0,80.7,46.4,17.2,77.4,Black_2,39.990821,-75.168428,SCORPIO,AQUARIUS,SAGITTARIUS,CAPRICORN,SCORPIO,VIRGO,CANCER,GEMINI,LIBRA,LEO,CANCER,CAPRICORN,SCORPIO,VIRGO
fraziwa01,Walt Frazier,1945-03-29,"Atlanta, Georgia",825,18.9,5.9,6.1,49.0,0.0,78.6,49.0,19.1,113.5,Red_1,33.769805,-84.414581,ARIES,LIBRA,ARIES,TAURUS,PISCES,VIRGO,CANCER,GEMINI,LIBRA,LEO,CANCER,CAPRICORN,ARIES,CAPRICORN
jacksph01,Phil Jackson,1945-09-17,"Deer Lodge, Montana",807,6.7,4.3,1.1,45.3,0.0,73.6,45.3,12.5,29.3,White_5,46.397238,-112.732896,VIRGO,CAPRICORN,VIRGO,LEO,CANCER,LIBRA,CANCER,GEMINI,LIBRA,LEO,CANCER,CAPRICORN,VIRGO,GEMINI
hayesel01,Elvin Hayes,1945-11-17,"Rayville, Louisiana",1303,21.0,12.5,1.8,45.2,14.7,67.0,45.2,17.7,120.8,White_5,32.476529,-91.757704,SCORPIO,ARIES,SAGITTARIUS,SCORPIO,LEO,LIBRA,CANCER,GEMINI,LIBRA,LEO,CANCER,CAPRICORN,SCORPIO,LEO
smithbi02,Bingo Smith,1946-02-26,"Memphis, Tennessee",865,12.6,4.2,2.0,44.9,28.4,79.8,45.0,14.1,33.3,Blue_4,35.112125,-89.954644,PISCES,CAPRICORN,PISCES,PISCES,CANCER,LIBRA,CANCER,GEMINI,LIBRA,LEO,GEMINI,SAGITTARIUS,AQUARIUS,SAGITTARIUS
unselwe01,Wes Unseld,1946-03-14,"Louisville, Kentucky",984,10.8,14.0,3.9,50.9,50.0,63.3,50.9,16.0,110.1,Blue_4,38.141177,-85.776881,PISCES,LEO,ARIES,ARIES,CANCER,LIBRA,CANCER,GEMINI,LIBRA,LEO,GEMINI,SAGITTARIUS,PISCES,SAGITTARIUS
chanedo01,Don Chaney,1946-03-22,"Baton Rouge, Louisiana",790,8.4,4.0,2.2,43.6,20.0,77.6,43.7,11.6,36.3,Blue_4,30.46297,-91.14273,ARIES,SCORPIO,ARIES,ARIES,CANCER,LIBRA,CANCER,GEMINI,LIBRA,LEO,GEMINI,SAGITTARIUS,PISCES,SAGITTARIUS
boonero01,Ron Boone,1946-09-06,"Oklahoma City, Oklahoma",1041,16.8,4.2,3.7,46.1,30.4,83.7,46.6,15.4,59.3,Red_2,35.393761,-97.602513,VIRGO,CAPRICORN,VIRGO,LIBRA,LIBRA,LIBRA,LEO,GEMINI,LIBRA,LEO,GEMINI,SAGITTARIUS,VIRGO,GEMINI
